User,STweekDay,STdateOnly,SThourOfDay,actID,activityName,stTS,distInMPrev,durInSecPrev,SMinsSinceMidnight,durationInSeconds,ETweekDay,ETdateOnly,EThourOfDay
0,5,2014-01-10,11,9,Socialising,2014-01-10T11:22:46Z,0,0,682,416,5,2014-01-10,11
0,5,2014-01-10,11,0,Others,2014-01-10T11:29:42Z,0,0,689,69,5,2014-01-10,11
0,5,2014-01-10,11,9,Socialising,2014-01-10T11:30:51Z,0,0,690,698,5,2014-01-10,11
0,5,2014-01-10,11,0,Others,2014-01-10T11:42:29Z,0,0,702,141,5,2014-01-10,11
0,5,2014-01-10,11,9,Socialising,2014-01-10T11:44:50Z,0,0,704,571,5,2014-01-10,11
0,5,2014-01-10,11,0,Others,2014-01-10T11:54:21Z,0,0,714,144,5,2014-01-10,11
0,5,2014-01-10,11,9,Socialising,2014-01-10T11:56:45Z,0,0,716,5579,5,2014-01-10,13
0,5,2014-01-10,13,0,Others,2014-01-10T13:29:44Z,0,0,809,69,5,2014-01-10,13
0,5,2014-01-10,13,3,Eating,2014-01-10T13:30:53Z,0,0,810,780,5,2014-01-10,13
0,5,2014-01-10,13,9,Socialising,2014-01-10T13:43:53Z,0,0,823,71,5,2014-01-10,13
0,5,2014-01-10,13,3,Eating,2014-01-10T13:45:04Z,0,0,825,70,5,2014-01-10,13
0,5,2014-01-10,13,9,Socialising,2014-01-10T13:46:14Z,0,0,826,1229,5,2014-01-10,14
0,5,2014-01-10,14,0,Others,2014-01-10T14:06:43Z,0,0,846,69,5,2014-01-10,14
0,5,2014-01-10,14,9,Socialising,2014-01-10T14:07:52Z,0,0,847,70,5,2014-01-10,14
0,5,2014-01-10,14,1,Commuting,2014-01-10T14:09:02Z,0,0,849,634,5,2014-01-10,14
0,5,2014-01-10,14,9,Socialising,2014-01-10T14:19:36Z,0,0,859,143,5,2014-01-10,14
0,5,2014-01-10,14,0,Others,2014-01-10T14:21:59Z,0,0,861,69,5,2014-01-10,14
0,5,2014-01-10,14,9,Socialising,2014-01-10T14:23:08Z,0,0,863,69,5,2014-01-10,14
0,5,2014-01-10,14,0,Others,2014-01-10T14:24:17Z,0,0,864,931,5,2014-01-10,14
0,5,2014-01-10,14,9,Socialising,2014-01-10T14:39:48Z,0,0,879,2369,5,2014-01-10,15
0,5,2014-01-10,15,11,Unknown,2014-01-10T15:19:17Z,0,0,919,31243,5,2014-01-10,23
0,1,2014-01-13,0,11,Unknown,2014-01-13T00:00:00Z,0,0,0,38345,1,2014-01-13,10
0,1,2014-01-13,10,0,Others,2014-01-13T10:39:05Z,0,0,639,138,1,2014-01-13,10
0,1,2014-01-13,10,2,Computer,2014-01-13T10:41:23Z,0,0,641,915,1,2014-01-13,10
0,1,2014-01-13,10,0,Others,2014-01-13T10:56:38Z,0,0,656,69,1,2014-01-13,10
0,1,2014-01-13,10,2,Computer,2014-01-13T10:57:47Z,0,0,657,691,1,2014-01-13,11
0,1,2014-01-13,11,0,Others,2014-01-13T11:09:18Z,0,0,669,72,1,2014-01-13,11
0,1,2014-01-13,11,2,Computer,2014-01-13T11:10:30Z,0,0,670,1221,1,2014-01-13,11
0,1,2014-01-13,11,0,Others,2014-01-13T11:30:51Z,0,0,690,70,1,2014-01-13,11
0,1,2014-01-13,11,2,Computer,2014-01-13T11:32:01Z,0,0,692,713,1,2014-01-13,11
0,1,2014-01-13,11,0,Others,2014-01-13T11:43:54Z,0,0,703,210,1,2014-01-13,11
0,1,2014-01-13,11,9,Socialising,2014-01-13T11:47:24Z,0,0,707,695,1,2014-01-13,11
0,1,2014-01-13,11,3,Eating,2014-01-13T11:58:59Z,0,0,718,348,1,2014-01-13,12
0,1,2014-01-13,12,0,Others,2014-01-13T12:04:47Z,0,0,724,138,1,2014-01-13,12
0,1,2014-01-13,12,3,Eating,2014-01-13T12:07:05Z,0,0,727,138,1,2014-01-13,12
0,1,2014-01-13,12,9,Socialising,2014-01-13T12:09:23Z,0,0,729,698,1,2014-01-13,12
0,1,2014-01-13,12,2,Computer,2014-01-13T12:21:01Z,0,0,741,79,1,2014-01-13,12
0,1,2014-01-13,12,3,Eating,2014-01-13T12:22:20Z,0,0,742,69,1,2014-01-13,12
0,1,2014-01-13,12,2,Computer,2014-01-13T12:23:29Z,0,0,743,219,1,2014-01-13,12
0,1,2014-01-13,12,9,Socialising,2014-01-13T12:27:08Z,0,0,747,70,1,2014-01-13,12
0,1,2014-01-13,12,0,Others,2014-01-13T12:28:18Z,0,0,748,990,1,2014-01-13,12
0,1,2014-01-13,12,2,Computer,2014-01-13T12:44:48Z,0,0,764,483,1,2014-01-13,12
0,1,2014-01-13,12,9,Socialising,2014-01-13T12:52:51Z,0,0,772,1105,1,2014-01-13,13
0,1,2014-01-13,13,0,Others,2014-01-13T13:11:16Z,0,0,791,491,1,2014-01-13,13
0,1,2014-01-13,13,2,Computer,2014-01-13T13:19:27Z,0,0,799,1314,1,2014-01-13,13
0,1,2014-01-13,13,0,Others,2014-01-13T13:41:21Z,0,0,821,69,1,2014-01-13,13
0,1,2014-01-13,13,2,Computer,2014-01-13T13:42:30Z,0,0,822,355,1,2014-01-13,13
0,1,2014-01-13,13,0,Others,2014-01-13T13:48:25Z,0,0,828,70,1,2014-01-13,13
0,1,2014-01-13,13,2,Computer,2014-01-13T13:49:35Z,0,0,829,1050,1,2014-01-13,14
0,1,2014-01-13,14,0,Others,2014-01-13T14:07:05Z,0,0,847,71,1,2014-01-13,14
0,1,2014-01-13,14,2,Computer,2014-01-13T14:08:16Z,0,0,848,70,1,2014-01-13,14
0,1,2014-01-13,14,0,Others,2014-01-13T14:09:26Z,0,0,849,72,1,2014-01-13,14
0,1,2014-01-13,14,1,Commuting,2014-01-13T14:10:38Z,0,0,850,2216,1,2014-01-13,14
0,1,2014-01-13,14,11,Unknown,2014-01-13T14:47:34Z,0,0,887,3339,1,2014-01-13,15
0,1,2014-01-13,15,1,Commuting,2014-01-13T15:43:13Z,0,0,943,560,1,2014-01-13,15
0,1,2014-01-13,15,9,Socialising,2014-01-13T15:52:33Z,0,0,952,139,1,2014-01-13,15
0,1,2014-01-13,15,0,Others,2014-01-13T15:54:52Z,0,0,954,356,1,2014-01-13,16
0,1,2014-01-13,16,2,Computer,2014-01-13T16:00:48Z,0,0,960,81,1,2014-01-13,16
0,1,2014-01-13,16,0,Others,2014-01-13T16:02:09Z,0,0,962,73,1,2014-01-13,16
0,1,2014-01-13,16,2,Computer,2014-01-13T16:03:22Z,0,0,963,4039,1,2014-01-13,17
0,1,2014-01-13,17,0,Others,2014-01-13T17:10:41Z,0,0,1030,79,1,2014-01-13,17
0,1,2014-01-13,17,2,Computer,2014-01-13T17:12:00Z,0,0,1032,383,1,2014-01-13,17
0,1,2014-01-13,17,0,Others,2014-01-13T17:18:23Z,0,0,1038,72,1,2014-01-13,17
0,1,2014-01-13,17,2,Computer,2014-01-13T17:19:35Z,0,0,1039,276,1,2014-01-13,17
0,1,2014-01-13,17,0,Others,2014-01-13T17:24:11Z,0,0,1044,138,1,2014-01-13,17
0,1,2014-01-13,17,2,Computer,2014-01-13T17:26:29Z,0,0,1046,69,1,2014-01-13,17
0,1,2014-01-13,17,9,Socialising,2014-01-13T17:27:38Z,0,0,1047,620,1,2014-01-13,17
0,1,2014-01-13,17,0,Others,2014-01-13T17:37:58Z,0,0,1057,126,1,2014-01-13,17
0,1,2014-01-13,17,3,Eating,2014-01-13T17:40:04Z,0,0,1060,211,1,2014-01-13,17
0,1,2014-01-13,17,9,Socialising,2014-01-13T17:43:35Z,0,0,1063,426,1,2014-01-13,17
0,1,2014-01-13,17,0,Others,2014-01-13T17:50:41Z,0,0,1070,355,1,2014-01-13,17
0,1,2014-01-13,17,9,Socialising,2014-01-13T17:56:36Z,0,0,1076,436,1,2014-01-13,18
0,1,2014-01-13,18,1,Commuting,2014-01-13T18:03:52Z,0,0,1083,275,1,2014-01-13,18
0,1,2014-01-13,18,0,Others,2014-01-13T18:08:27Z,0,0,1088,70,1,2014-01-13,18
0,1,2014-01-13,18,2,Computer,2014-01-13T18:09:37Z,0,0,1089,916,1,2014-01-13,18
0,1,2014-01-13,18,0,Others,2014-01-13T18:24:53Z,0,0,1104,68,1,2014-01-13,18
0,1,2014-01-13,18,2,Computer,2014-01-13T18:26:01Z,0,0,1106,344,1,2014-01-13,18
0,1,2014-01-13,18,0,Others,2014-01-13T18:31:45Z,0,0,1111,70,1,2014-01-13,18
0,1,2014-01-13,18,9,Socialising,2014-01-13T18:32:55Z,0,0,1112,789,1,2014-01-13,18
0,1,2014-01-13,18,0,Others,2014-01-13T18:46:04Z,0,0,1126,72,1,2014-01-13,18
0,1,2014-01-13,18,9,Socialising,2014-01-13T18:47:16Z,0,0,1127,642,1,2014-01-13,18
0,1,2014-01-13,18,0,Others,2014-01-13T18:57:58Z,0,0,1137,69,1,2014-01-13,18
0,1,2014-01-13,18,9,Socialising,2014-01-13T18:59:07Z,0,0,1139,565,1,2014-01-13,19
0,1,2014-01-13,19,0,Others,2014-01-13T19:08:32Z,0,0,1148,74,1,2014-01-13,19
0,1,2014-01-13,19,9,Socialising,2014-01-13T19:09:46Z,0,0,1149,282,1,2014-01-13,19
0,1,2014-01-13,19,2,Computer,2014-01-13T19:14:28Z,0,0,1154,783,1,2014-01-13,19
0,1,2014-01-13,19,0,Others,2014-01-13T19:27:31Z,0,0,1167,276,1,2014-01-13,19
0,1,2014-01-13,19,2,Computer,2014-01-13T19:32:07Z,0,0,1172,209,1,2014-01-13,19
0,1,2014-01-13,19,0,Others,2014-01-13T19:35:36Z,0,0,1175,70,1,2014-01-13,19
0,1,2014-01-13,19,2,Computer,2014-01-13T19:36:46Z,0,0,1176,70,1,2014-01-13,19
0,1,2014-01-13,19,0,Others,2014-01-13T19:37:56Z,0,0,1177,68,1,2014-01-13,19
0,1,2014-01-13,19,2,Computer,2014-01-13T19:39:04Z,0,0,1179,776,1,2014-01-13,19
0,1,2014-01-13,19,0,Others,2014-01-13T19:52:00Z,0,0,1192,277,1,2014-01-13,19
0,1,2014-01-13,19,2,Computer,2014-01-13T19:56:37Z,0,0,1196,1123,1,2014-01-13,20
0,1,2014-01-13,20,9,Socialising,2014-01-13T20:15:20Z,0,0,1215,208,1,2014-01-13,20
0,1,2014-01-13,20,0,Others,2014-01-13T20:18:48Z,0,0,1218,70,1,2014-01-13,20
0,1,2014-01-13,20,9,Socialising,2014-01-13T20:19:58Z,0,0,1219,69,1,2014-01-13,20
0,1,2014-01-13,20,0,Others,2014-01-13T20:21:07Z,0,0,1221,821,1,2014-01-13,20
0,1,2014-01-13,20,9,Socialising,2014-01-13T20:34:48Z,0,0,1234,416,1,2014-01-13,20
0,1,2014-01-13,20,0,Others,2014-01-13T20:41:44Z,0,0,1241,70,1,2014-01-13,20
0,1,2014-01-13,20,9,Socialising,2014-01-13T20:42:54Z,0,0,1242,69,1,2014-01-13,20
0,1,2014-01-13,20,0,Others,2014-01-13T20:44:03Z,0,0,1244,70,1,2014-01-13,20
0,1,2014-01-13,20,9,Socialising,2014-01-13T20:45:13Z,0,0,1245,277,1,2014-01-13,20
0,1,2014-01-13,20,0,Others,2014-01-13T20:49:50Z,0,0,1249,70,1,2014-01-13,20
0,1,2014-01-13,20,9,Socialising,2014-01-13T20:51:00Z,0,0,1251,71,1,2014-01-13,20
0,1,2014-01-13,20,0,Others,2014-01-13T20:52:11Z,0,0,1252,340,1,2014-01-13,20
0,1,2014-01-13,20,9,Socialising,2014-01-13T20:57:51Z,0,0,1257,353,1,2014-01-13,21
0,1,2014-01-13,21,1,Commuting,2014-01-13T21:03:44Z,0,0,1263,697,1,2014-01-13,21
0,1,2014-01-13,21,0,Others,2014-01-13T21:15:21Z,0,0,1275,139,1,2014-01-13,21
0,1,2014-01-13,21,5,Housework,2014-01-13T21:17:40Z,0,0,1277,489,1,2014-01-13,21
0,1,2014-01-13,21,0,Others,2014-01-13T21:25:49Z,0,0,1285,2156,1,2014-01-13,22
0,1,2014-01-13,22,11,Unknown,2014-01-13T22:01:45Z,0,0,1321,7095,1,2014-01-13,23
0,2,2014-01-14,0,11,Unknown,2014-01-14T00:00:00Z,0,0,0,36085,2,2014-01-14,10
0,2,2014-01-14,10,0,Others,2014-01-14T10:01:25Z,0,0,601,1800,2,2014-01-14,10
0,2,2014-01-14,10,11,Unknown,2014-01-14T10:31:25Z,0,0,631,16595,2,2014-01-14,15
0,2,2014-01-14,15,0,Others,2014-01-14T15:08:00Z,0,0,908,207,2,2014-01-14,15
0,2,2014-01-14,15,2,Computer,2014-01-14T15:11:27Z,0,0,911,950,2,2014-01-14,15
0,2,2014-01-14,15,0,Others,2014-01-14T15:27:17Z,0,0,927,430,2,2014-01-14,15
0,2,2014-01-14,15,2,Computer,2014-01-14T15:34:27Z,0,0,934,142,2,2014-01-14,15
0,2,2014-01-14,15,0,Others,2014-01-14T15:36:49Z,0,0,936,69,2,2014-01-14,15
0,2,2014-01-14,15,2,Computer,2014-01-14T15:37:58Z,0,0,937,410,2,2014-01-14,15
0,2,2014-01-14,15,0,Others,2014-01-14T15:44:48Z,0,0,944,68,2,2014-01-14,15
0,2,2014-01-14,15,2,Computer,2014-01-14T15:45:56Z,0,0,945,1643,2,2014-01-14,16
0,2,2014-01-14,16,0,Others,2014-01-14T16:13:19Z,0,0,973,350,2,2014-01-14,16
0,2,2014-01-14,16,2,Computer,2014-01-14T16:19:09Z,0,0,979,1400,2,2014-01-14,16
0,2,2014-01-14,16,0,Others,2014-01-14T16:42:29Z,0,0,1002,211,2,2014-01-14,16
0,2,2014-01-14,16,2,Computer,2014-01-14T16:46:00Z,0,0,1006,369,2,2014-01-14,16
0,2,2014-01-14,16,0,Others,2014-01-14T16:52:09Z,0,0,1012,70,2,2014-01-14,16
0,2,2014-01-14,16,2,Computer,2014-01-14T16:53:19Z,0,0,1013,734,2,2014-01-14,17
0,2,2014-01-14,17,0,Others,2014-01-14T17:05:33Z,0,0,1025,69,2,2014-01-14,17
0,2,2014-01-14,17,2,Computer,2014-01-14T17:06:42Z,0,0,1026,911,2,2014-01-14,17
0,2,2014-01-14,17,0,Others,2014-01-14T17:21:53Z,0,0,1041,69,2,2014-01-14,17
0,2,2014-01-14,17,2,Computer,2014-01-14T17:23:02Z,0,0,1043,437,2,2014-01-14,17
0,2,2014-01-14,17,0,Others,2014-01-14T17:30:19Z,0,0,1050,72,2,2014-01-14,17
0,2,2014-01-14,17,2,Computer,2014-01-14T17:31:31Z,0,0,1051,285,2,2014-01-14,17
0,2,2014-01-14,17,0,Others,2014-01-14T17:36:16Z,0,0,1056,139,2,2014-01-14,17
0,2,2014-01-14,17,2,Computer,2014-01-14T17:38:35Z,0,0,1058,210,2,2014-01-14,17
0,2,2014-01-14,17,0,Others,2014-01-14T17:42:05Z,0,0,1062,70,2,2014-01-14,17
0,2,2014-01-14,17,2,Computer,2014-01-14T17:43:15Z,0,0,1063,1652,2,2014-01-14,18
0,2,2014-01-14,18,0,Others,2014-01-14T18:10:47Z,0,0,1090,70,2,2014-01-14,18
0,2,2014-01-14,18,2,Computer,2014-01-14T18:11:57Z,0,0,1091,1223,2,2014-01-14,18
0,2,2014-01-14,18,0,Others,2014-01-14T18:32:20Z,0,0,1112,630,2,2014-01-14,18
0,2,2014-01-14,18,9,Socialising,2014-01-14T18:42:50Z,0,0,1122,213,2,2014-01-14,18
0,2,2014-01-14,18,0,Others,2014-01-14T18:46:23Z,0,0,1126,145,2,2014-01-14,18
0,2,2014-01-14,18,9,Socialising,2014-01-14T18:48:48Z,0,0,1128,71,2,2014-01-14,18
0,2,2014-01-14,18,0,Others,2014-01-14T18:49:59Z,0,0,1129,421,2,2014-01-14,18
0,2,2014-01-14,18,9,Socialising,2014-01-14T18:57:00Z,0,0,1137,210,2,2014-01-14,19
0,2,2014-01-14,19,0,Others,2014-01-14T19:00:30Z,0,0,1140,282,2,2014-01-14,19
0,2,2014-01-14,19,2,Computer,2014-01-14T19:05:12Z,0,0,1145,990,2,2014-01-14,19
0,2,2014-01-14,19,0,Others,2014-01-14T19:21:42Z,0,0,1161,287,2,2014-01-14,19
0,2,2014-01-14,19,9,Socialising,2014-01-14T19:26:29Z,0,0,1166,209,2,2014-01-14,19
0,2,2014-01-14,19,0,Others,2014-01-14T19:29:58Z,0,0,1169,357,2,2014-01-14,19
0,2,2014-01-14,19,1,Commuting,2014-01-14T19:35:55Z,0,0,1175,723,2,2014-01-14,19
0,2,2014-01-14,19,0,Others,2014-01-14T19:47:58Z,0,0,1187,281,2,2014-01-14,19
0,2,2014-01-14,19,3,Eating,2014-01-14T19:52:39Z,0,0,1192,285,2,2014-01-14,19
0,2,2014-01-14,19,0,Others,2014-01-14T19:57:24Z,0,0,1197,1937,2,2014-01-14,20
0,2,2014-01-14,20,11,Unknown,2014-01-14T20:29:41Z,0,0,1229,12619,2,2014-01-14,23
0,3,2014-01-15,0,11,Unknown,2014-01-15T00:00:00Z,0,0,0,37942,3,2014-01-15,10
